"","title","link","guid","atom.link","media.content","media.description","media.credit","description","dc.creator","pubDate","category","category.1","category.2","category.3","category.4","category.5","category.6","category.7","category.8","category.9","category.10","category.11","category.12","category.13","category.14","category.15","category.16","category.17","category.18"
"1","Killing C.I.A. Informants, China Crippled U.S. Spying Operations","https://www.nytimes.com/2017/05/20/world/asia/china-cia-spies-espionage.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/world/asia/china-cia-spies-espionage.html","#NA","#NA","An honor guard outside the Great Hall of the People in Beijing last month. The Chinese government killed or imprisoned 18 to 20 C.I.A sources from 2010 through 2012.","Wang Zhao/Agence France-Presse — Getty Images","At least 18 C.I.A. sources were killed or imprisoned in China between 2010 and 2012, one of the worst intelligence breaches in decades. Investigators still disagree about how it happened.","MARK MAZZETTI, ADAM GOLDMAN, MICHAEL S. SCHMIDT and MATT APUZZO","Sat, 20 May 2017 16:13:08 GMT","China","Espionage and Intelligence Services","Central Intelligence Agency","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"2","Trump Rules: How Rollbacks at Scott Pruitt’s E.P.A. Are a Boon to Oil and Gas","https://www.nytimes.com/2017/05/20/business/energy-environment/devon-energy.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/business/energy-environment/devon-energy.html","#NA","#NA","Devon Energy’s Beaver Creek gas plant outside Riverton, Wyo. The company was prepared to install sophisticated equipment to reduce emissions of hazardous air pollution. Since Scott Pruitt assumed the helm of the Environmental Protection Agency, the company has pulled back from its proposals.","Ryan Dorgan for The New York Times","The new E.P.A. administrator has a long, helpful history with Devon Energy, going back to his days as attorney general of Oklahoma.","HIROKO TABUCHI and ERIC LIPTON","Sat, 20 May 2017 20:37:46 GMT","Environmental Protection Agency","Pruitt, Scott","Devon Energy Corporation","Oil (Petroleum) and Gasoline","Regulation and Deregulation of Industry","Greenhouse Gas Emissions","Politics and Government","Air Pollution","Trump, Donald J","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"3","Rouhani Wins Re-election in Iran by a Wide Margin","https://www.nytimes.com/2017/05/20/world/middleeast/iran-election-hassan-rouhani.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/world/middleeast/iran-election-hassan-rouhani.html","#NA","#NA","President Hassan Rouhani of Iran after delivering a televised speech in the capital, Tehran, on Saturday.","Atta Kenare/Agence France-Presse — Getty Images","President Hassan Rouhani defeated his closest rival, Ebrahim Raisi, 57 percent to 38.5 percent, giving him a mandate to continue his quest to open Iran’s ailing economy to global investors.","THOMAS ERDBRINK","Sat, 20 May 2017 09:53:03 GMT","Elections","Rouhani, Hassan","Iran","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"4","The Conservative Force Behind Speeches Roiling College Campuses","https://www.nytimes.com/2017/05/20/us/college-conservative-speeches.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/us/college-conservative-speeches.html","#NA","#NA","Students at the University at Buffalo gathered ahead of an appearance there this month by Robert Spencer, a conservative author and blogger.","Brendan Bannon for The New York Times","The Young America’s Foundation, a well-funded group based in Washington, is on a mission to “restore sanity” at schools by deploying provocative speakers.","STEPHANIE SAUL","Sat, 20 May 2017 09:00:26 GMT","Young America's Foundation","Freedom of Speech and Expression","Colleges and Universities","Coulter, Ann","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"5","Nigerian Schoolgirls Kidnapped by Boko Haram Rejoin Families","https://www.nytimes.com/2017/05/20/world/africa/boko-haram-chibok-kidnappings.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/world/africa/boko-haram-chibok-kidnappings.html","#NA","#NA","A young woman kidnapped by Boko Haram in Chibok, Nigeria, was reunited with her parents in Abuja on Saturday.","Sunday Aghaeze/Agence France-Presse — Getty Images","Anxious parents of the 82 Chibok girls looked for signs of how deeply their daughters might have changed in the hands of the extremists.","THE ASSOCIATED PRESS","Sat, 20 May 2017 17:39:42 GMT","Boko Haram","Kidnapping and Hostages","Chibok (Nigeria)","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"6","58,000 Haitians in U.S. May Lose Post-Earthquake Protections","https://www.nytimes.com/2017/05/20/us/haitians-us-earthquake-immigration-protections.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/us/haitians-us-earthquake-immigration-protections.html","#NA","#NA","A protest in Miami this month against the possibility that Haitians in a United States residency program will lose their temporary protected status after its July 22 expiration date.","Joe Raedle/Getty Images","American officials are weighing whether to extend a special residency status that was granted after a 2010 disaster but could expire in July.","LIZETTE ALVAREZ","Sat, 20 May 2017 16:04:31 GMT","Haiti","Miami (Fla)","Temporary Protected Status","Haitian-Americans","United States Politics and Government","Immigration and Emigration","Earthquakes","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"7","‘This Doesn’t Sound Legal’: Inside Nike’s Oregon Project","https://www.nytimes.com/2017/05/19/sports/nike-oregon-project-alberto-salazar-dathan-ritzenhein.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/sports/nike-oregon-project-alberto-salazar-dathan-ritzenhein.html","#NA","#NA","In June 2015, Alberto Salazar watched as Galen Rupp competed in the 10,000-meter run at the USA Outdoor Track and Field Championships in Eugene, Ore.","Christian Petersen/Getty Images","A report by antidoping officials says the coach, Alberto Salazar, violated drug protocols with Dathan Ritzenhein, Mo Farah and other elite runners.","MATT HART","Sat, 20 May 2017 04:18:53 GMT","Running","NIKE Inc","Doping (Sports)","United States Anti-Doping Agency","Salazar, Alberto","Magness, Steve","Ritzenhein, Dathan","Welling, Tara","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"8","The 2017 Pritzker-Winning Architecture","https://www.nytimes.com/video/arts/design/100000005012342/explore-in-360-the-pritzker-prize-winning-architecture.html?partner=rss&emc=rss","https://www.nytimes.com/video/arts/design/100000005012342/explore-in-360-the-pritzker-prize-winning-architecture.html","#NA","#NA","#NA","#NA","For the first time, a group of three architects have won the Pritzker Prize, the profession’s highest honor. In Catalonia, explore the buildings designed by the winners.","#NA","Sat, 20 May 2017 04:01:29 GMT","Spain","Architecture","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"9","Scandal in Brazil Raises Fear of Turmoil’s Return","https://www.nytimes.com/2017/05/19/world/americas/brazil-michel-temer.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/world/americas/brazil-michel-temer.html","#NA","#NA","President Michel Temer of Brazil spoke in Brasília, the capital, on Thursday. The Supreme Court has released testimony accusing him of taking $4.6 million in illegal campaign contributions in 2014.","Ueslei Marcelino/Reuters","At each major turn in Brazil’s long-simmering political crisis, secret recordings have produced one bombshell after another, tripping up some of Brazil’s most powerful politicians.","SIMON ROMERO","Sat, 20 May 2017 01:02:22 GMT","Temer, Michel (1940- )","Brazil","Bribery and Kickbacks","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"10","Anthony Weiner Pleads Guilty to Federal Obscenity Charge","https://www.nytimes.com/2017/05/19/nyregion/anthony-weiner-guilty-plea-sexting.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/nyregion/anthony-weiner-guilty-plea-sexting.html","#NA","#NA","Anthony D. Weiner, the former New York Democratic congressman and candidate for mayor, leaving federal court in Manhattan on Friday. His estranged wife, Huma Abedin, was a top aide to Hillary Clinton.","Christopher Lee for The New York Times","The ex-congressman, whose wife, Huma Abedin, was a top aide to Hillary Clinton, admitted to sending sexually explicit images to a girl he knew was 15.","BENJAMIN WEISER and WILLIAM K. RASHBAUM","Fri, 19 May 2017 18:14:54 GMT","Sexting","United States Politics and Government","Federal Bureau of Investigation","Abedin, Huma","Weiner, Anthony D","Manhattan (NYC)","Clinton, Hillary Rodham","Comey, James B","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
